league,year_season,slug,recently_promoted,recently_demoted
Bundesliga,15/16,darmstadt-98,1,0
Bundesliga,15/16,ingolstadt-04,1,0
Bundesliga,16/17,rb-leipzig,1,0
Bundesliga,16/17,sc-freiburg,1,0
Bundesliga,17/18,hannover-96,1,0
Bundesliga,17/18,vfb-stuttgart,1,0
Bundesliga,18/19,1-fc-nurnberg,1,0
Bundesliga,18/19,fortuna-dusseldorf,1,0
Bundesliga,19/20,1-fc-koln,1,0
Bundesliga,19/20,1-fc-union-berlin,1,0
Bundesliga,19/20,sc-paderborn-07,1,0
Bundesliga,20/21,arminia-bielefeld,1,0
Bundesliga,20/21,vfb-stuttgart,1,0
Bundesliga,21/22,spvgg-greuther-furth,1,0
Bundesliga,21/22,vfl-bochum,1,0
Bundesliga,22/23,schalke-04,1,0
Bundesliga,22/23,sv-werder-bremen,1,0
Bundesliga,23/24,1-fc-heidenheim,1,0
Bundesliga,23/24,sv-darmstadt-98,1,0
Bundesliga,24/25,fc-st-pauli,1,0
Bundesliga,24/25,holstein-kiel,1,0
Bundesliga_2,17/18,holstein-kiel,1,0
Bundesliga_2,17/18,jahn-regensburg,1,0
Bundesliga_2,17/18,msv-duisburg,1,0
Bundesliga_2,17/18,darmstadt-98,0,1
Bundesliga_2,17/18,ingolstadt-04,0,1
Bundesliga_2,18/19,1-fc-magdeburg,1,0
Bundesliga_2,18/19,sc-paderborn-07,1,0
Bundesliga_2,18/19,1-fc-koln,0,1
Bundesliga_2,18/19,hamburger-sv,0,1
Bundesliga_2,19/20,karlsruher-sc,1,0
Bundesliga_2,19/20,sv-wehen-wiesbaden,1,0
Bundesliga_2,19/20,vfl-osnabruck,1,0
Bundesliga_2,19/20,1-fc-nurnberg,0,1
Bundesliga_2,19/20,hannover-96,0,1
Bundesliga_2,19/20,vfb-stuttgart,0,1
Bundesliga_2,20/21,eintracht-braunschweig,1,0
Bundesliga_2,20/21,wurzburger-kickers,1,0
Bundesliga_2,20/21,fortuna-dusseldorf,0,1
Bundesliga_2,20/21,sc-paderborn-07,0,1
Bundesliga_2,21/22,dynamo-dresden,1,0
Bundesliga_2,21/22,fc-ingolstadt-04,1,0
Bundesliga_2,21/22,hansa-rostock,1,0
Bundesliga_2,21/22,schalke-04,0,1
Bundesliga_2,21/22,sv-werder-bremen,0,1
Bundesliga_2,22/23,1-fc-kaiserslautern,1,0
Bundesliga_2,22/23,1-fc-magdeburg,1,0
Bundesliga_2,22/23,eintracht-braunschweig,1,0
Bundesliga_2,22/23,arminia-bielefeld,0,1
Bundesliga_2,22/23,spvgg-greuther-furth,0,1
Bundesliga_2,23/24,sv-elversberg,1,0
Bundesliga_2,23/24,sv-wehen-wiesbaden,1,0
Bundesliga_2,23/24,vfl-osnabruck,1,0
Bundesliga_2,23/24,schalke-04,0,1
Bundesliga_2,23/24,hertha-bsc,0,1
Bundesliga_2,24/25,jahn-regensburg,1,0
Bundesliga_2,24/25,preussen-munster,1,0
Bundesliga_2,24/25,ssv-ulm-1846,1,0
Bundesliga_2,24/25,1-fc-koln,0,1
Bundesliga_2,24/25,sv-darmstadt-98,0,1
Championship,16/17,barnsley,1,0
Championship,16/17,burton-albion,1,0
Championship,16/17,wigan-athletic,1,0
Championship,16/17,aston-villa,0,1
Championship,16/17,newcastle-united,0,1
Championship,16/17,norwich-city,0,1
Championship,17/18,bolton-wanderers,1,0
Championship,17/18,millwall,1,0
Championship,17/18,sheffield-united,1,0
Championship,17/18,hull-city,0,1
Championship,17/18,middlesbrough,0,1
Championship,17/18,sunderland,0,1
Championship,18/19,blackburn-rovers,1,0
Championship,18/19,rotherham-united,1,0
Championship,18/19,wigan-athletic,1,0
Championship,18/19,stoke-city,0,1
Championship,18/19,swansea-city,0,1
Championship,18/19,west-brom,0,1
Championship,19/20,barnsley,1,0
Championship,19/20,charlton-athletic,1,0
Championship,19/20,luton-town,1,0
Championship,19/20,cardiff-city,0,1
Championship,19/20,fulham,0,1
Championship,19/20,huddersfield-town,0,1
Championship,20/21,coventry-city,1,0
Championship,20/21,rotherham-united,1,0
Championship,20/21,wycombe-wanderers,1,0
Championship,20/21,afc-bournemouth,0,1
Championship,20/21,norwich-city,0,1
Championship,20/21,watford,0,1
Championship,21/22,blackpool,1,0
Championship,21/22,hull-city,1,0
Championship,21/22,peterborough-united,1,0
Championship,21/22,fulham,0,1
Championship,21/22,sheffield-united,0,1
Championship,21/22,west-brom,0,1
Championship,22/23,rotherham-united,1,0
Championship,22/23,sunderland,1,0
Championship,22/23,wigan-athletic,1,0
Championship,22/23,burnley,0,1
Championship,22/23,norwich-city,0,1
Championship,22/23,watford,0,1
Championship,23/24,ipswich-town,1,0
Championship,23/24,plymouth-argyle,1,0
Championship,23/24,sheffield-wednesday,1,0
Championship,23/24,leeds-united,0,1
Championship,23/24,leicester-city,0,1
Championship,23/24,southampton,0,1
Championship,24/25,derby-county,1,0
Championship,24/25,oxford-united,1,0
Championship,24/25,portsmouth,1,0
Championship,24/25,burnley,0,1
Championship,24/25,luton-town,0,1
Championship,24/25,sheffield-united,0,1
Eredivisie,15/16,de-graafschap,1,0
Eredivisie,15/16,nec-nijmegen,1,0
Eredivisie,15/16,roda-jc-kerkrade,1,0
Eredivisie,16/17,go-ahead-eagles,1,0
Eredivisie,16/17,sparta-rotterdam,1,0
Eredivisie,17/18,nac-breda,1,0
Eredivisie,17/18,vvv-venlo,1,0
Eredivisie,18/19,de-graafschap,1,0
Eredivisie,18/19,fc-emmen,1,0
Eredivisie,18/19,fortuna-sittard,1,0
Eredivisie,19/20,fc-twente,1,0
Eredivisie,19/20,rkc-waalwijk,1,0
Eredivisie,19/20,sparta-rotterdam,1,0
Eredivisie,21/22,go-ahead-eagles,1,0
Eredivisie,21/22,nec-nijmegen,1,0
Eredivisie,21/22,sc-cambuur,1,0
Eredivisie,22/23,excelsior,1,0
Eredivisie,22/23,fc-emmen,1,0
Eredivisie,22/23,fc-volendam,1,0
Eredivisie,23/24,almere-city,1,0
Eredivisie,23/24,heracles-almelo,1,0
Eredivisie,23/24,pec-zwolle,1,0
Eredivisie,24/25,fc-groningen,1,0
Eredivisie,24/25,nac-breda,1,0
Eredivisie,24/25,willem-ii,1,0
La_Liga,15/16,las-palmas,1,0
La_Liga,15/16,real-betis,1,0
La_Liga,15/16,sporting-gijon,1,0
La_Liga,16/17,alaves,1,0
La_Liga,16/17,leganes,1,0
La_Liga,16/17,osasuna,1,0
La_Liga,17/18,getafe,1,0
La_Liga,17/18,girona,1,0
La_Liga,17/18,levante,1,0
La_Liga,18/19,huesca,1,0
La_Liga,18/19,rayo-vallecano,1,0
La_Liga,18/19,real-valladolid,1,0
La_Liga,19/20,granada,1,0
La_Liga,19/20,mallorca,1,0
La_Liga,19/20,osasuna,1,0
La_Liga,20/21,cadiz,1,0
La_Liga,20/21,elche,1,0
La_Liga,20/21,huesca,1,0
La_Liga,21/22,espanyol,1,0
La_Liga,21/22,mallorca,1,0
La_Liga,21/22,rayo-vallecano,1,0
La_Liga,22/23,almeria,1,0
La_Liga,22/23,girona,1,0
La_Liga,22/23,real-valladolid,1,0
La_Liga,23/24,alaves,1,0
La_Liga,23/24,granada,1,0
La_Liga,23/24,las-palmas,1,0
La_Liga,24/25,espanyol,1,0
La_Liga,24/25,leganes,1,0
La_Liga,24/25,real-valladolid,1,0
La_Liga_2,16/17,cadiz,1,0
La_Liga_2,16/17,reus-deportiu,1,0
La_Liga_2,16/17,sevilla-atletico,1,0
La_Liga_2,16/17,ucam-murcia,1,0
La_Liga_2,16/17,getafe,0,1
La_Liga_2,16/17,levante,0,1
La_Liga_2,16/17,rayo-vallecano,0,1
La_Liga_2,17/18,albacete,1,0
La_Liga_2,17/18,barcelona-b,1,0
La_Liga_2,17/18,cultural-leonesa,1,0
La_Liga_2,17/18,lorca-fc,1,0
La_Liga_2,17/18,granada,0,1
La_Liga_2,17/18,osasuna,0,1
La_Liga_2,17/18,sporting-gijon,0,1
La_Liga_2,18/19,elche,1,0
La_Liga_2,18/19,extremadura-ud,1,0
La_Liga_2,18/19,mallorca,1,0
La_Liga_2,18/19,rayo-majadahonda,1,0
La_Liga_2,18/19,deportivo-la-coruna,0,1
La_Liga_2,18/19,las-palmas,0,1
La_Liga_2,18/19,malaga,0,1
La_Liga_2,19/20,fuenlabrada,1,0
La_Liga_2,19/20,mirandes,1,0
La_Liga_2,19/20,ponferradina,1,0
La_Liga_2,19/20,racing-santander,1,0
La_Liga_2,19/20,girona,0,1
La_Liga_2,19/20,huesca,0,1
La_Liga_2,19/20,rayo-vallecano,0,1
La_Liga_2,20/21,cartagena,1,0
La_Liga_2,20/21,castellon,1,0
La_Liga_2,20/21,logrones,1,0
La_Liga_2,20/21,sabadell,1,0
La_Liga_2,20/21,espanyol,0,1
La_Liga_2,20/21,leganes,0,1
La_Liga_2,20/21,mallorca,0,1
La_Liga_2,21/22,amorebieta,1,0
La_Liga_2,21/22,burgos,1,0
La_Liga_2,21/22,ibiza,1,0
La_Liga_2,21/22,real-sociedad-b,1,0
La_Liga_2,21/22,eibar,0,1
La_Liga_2,21/22,huesca,0,1
La_Liga_2,21/22,real-valladolid,0,1
La_Liga_2,22/23,albacete,1,0
La_Liga_2,22/23,andorra,1,0
La_Liga_2,22/23,racing-santander,1,0
La_Liga_2,22/23,villarreal-b,1,0
La_Liga_2,22/23,alaves,0,1
La_Liga_2,22/23,granada,0,1
La_Liga_2,22/23,levante,0,1
La_Liga_2,23/24,alcorcon,1,0
La_Liga_2,23/24,amorebieta,1,0
La_Liga_2,23/24,eldense,1,0
La_Liga_2,23/24,racing-de-ferrol,1,0
La_Liga_2,23/24,elche,0,1
La_Liga_2,23/24,espanyol,0,1
La_Liga_2,23/24,real-valladolid,0,1
La_Liga_2,24/25,castellon,1,0
La_Liga_2,24/25,cordoba,1,0
La_Liga_2,24/25,deportivo-la-coruna,1,0
La_Liga_2,24/25,malaga,1,0
La_Liga_2,24/25,almeria,0,1
La_Liga_2,24/25,cadiz,0,1
La_Liga_2,24/25,granada,0,1
Ligue_1,15/16,angers,1,0
Ligue_1,15/16,gazelec-ajaccio,1,0
Ligue_1,15/16,troyes,1,0
Ligue_1,16/17,dijon,1,0
Ligue_1,16/17,metz,1,0
Ligue_1,16/17,nancy,1,0
Ligue_1,17/18,amiens,1,0
Ligue_1,17/18,strasbourg,1,0
Ligue_1,17/18,troyes,1,0
Ligue_1,18/19,nimes,1,0
Ligue_1,18/19,reims,1,0
Ligue_1,19/20,brest,1,0
Ligue_1,19/20,metz,1,0
Ligue_1,20/21,lens,1,0
Ligue_1,20/21,lorient,1,0
Ligue_1,21/22,clermont,1,0
Ligue_1,21/22,troyes,1,0
Ligue_1,22/23,ajaccio,1,0
Ligue_1,22/23,auxerre,1,0
Ligue_1,22/23,toulouse,1,0
Ligue_1,23/24,le-havre,1,0
Ligue_1,23/24,metz,1,0
Ligue_1,24/25,angers,1,0
Ligue_1,24/25,auxerre,1,0
Ligue_1,24/25,saint-etienne,1,0
Ligue_2,17/18,chateauroux,1,0
Ligue_2,17/18,paris-fc,1,0
Ligue_2,17/18,quevilly-rouen,1,0
Ligue_2,17/18,bastia,0,1
Ligue_2,17/18,lorient,0,1
Ligue_2,17/18,nancy,0,1
Ligue_2,18/19,beziers,1,0
Ligue_2,18/19,grenoble,1,0
Ligue_2,18/19,red-star,1,0
Ligue_2,18/19,metz,0,1
Ligue_2,18/19,troyes,0,1
Ligue_2,20/21,dunkerque,1,0
Ligue_2,20/21,pau,1,0
Ligue_2,20/21,amiens,0,1
Ligue_2,20/21,toulouse,0,1
Ligue_2,21/22,bastia,1,0
Ligue_2,21/22,quevilly-rouen,1,0
Ligue_2,21/22,dijon,0,1
Ligue_2,21/22,nimes,0,1
Ligue_2,22/23,annecy,1,0
Ligue_2,22/23,laval,1,0
Ligue_2,22/23,bordeaux,0,1
Ligue_2,22/23,metz,0,1
Ligue_2,22/23,saint-etienne,0,1
Ligue_2,23/24,concarneau,1,0
Ligue_2,23/24,dunkerque,1,0
Ligue_2,23/24,ajaccio,0,1
Ligue_2,23/24,angers,0,1
Ligue_2,23/24,auxerre,0,1
Ligue_2,23/24,troyes,0,1
Ligue_2,24/25,martigues,1,0
Ligue_2,24/25,red-star,1,0
Ligue_2,24/25,clermont,0,1
Ligue_2,24/25,lorient,0,1
Ligue_2,24/25,metz,0,1
Premier_League,15/16,afc-bournemouth,1,0
Premier_League,15/16,norwich-city,1,0
Premier_League,15/16,watford,1,0
Premier_League,16/17,burnley,1,0
Premier_League,16/17,hull-city,1,0
Premier_League,16/17,middlesbrough,1,0
Premier_League,17/18,brighton-and-hove-albion,1,0
Premier_League,17/18,huddersfield-town,1,0
Premier_League,17/18,newcastle-united,1,0
Premier_League,18/19,cardiff-city,1,0
Premier_League,18/19,fulham,1,0
Premier_League,18/19,wolverhampton-wanderers,1,0
Premier_League,19/20,aston-villa,1,0
Premier_League,19/20,norwich-city,1,0
Premier_League,19/20,sheffield-united,1,0
Premier_League,20/21,fulham,1,0
Premier_League,20/21,leeds-united,1,0
Premier_League,20/21,west-brom,1,0
Premier_League,21/22,brentford,1,0
Premier_League,21/22,norwich-city,1,0
Premier_League,21/22,watford,1,0
Premier_League,22/23,afc-bournemouth,1,0
Premier_League,22/23,fulham,1,0
Premier_League,22/23,nottingham-forest,1,0
Premier_League,23/24,burnley,1,0
Premier_League,23/24,luton-town,1,0
Premier_League,23/24,sheffield-united,1,0
Premier_League,24/25,ipswich-town,1,0
Premier_League,24/25,leicester-city,1,0
Premier_League,24/25,southampton,1,0
Premiership,20/21,dundee-united,1,0
Premiership,21/22,heart-of-midlothian,1,0
Premiership,22/23,kilmarnock,1,0
Premiership,23/24,dundee,1,0
Premiership,24/25,dundee-united,1,0
Serie_A,15/16,bologna,1,0
Serie_A,15/16,carpi,1,0
Serie_A,15/16,frosinone,1,0
Serie_A,16/17,cagliari,1,0
Serie_A,16/17,crotone,1,0
Serie_A,16/17,pescara,1,0
Serie_A,17/18,benevento,1,0
Serie_A,17/18,hellas-verona,1,0
Serie_A,17/18,spal,1,0
Serie_A,18/19,empoli,1,0
Serie_A,18/19,frosinone,1,0
Serie_A,18/19,parma,1,0
Serie_A,19/20,brescia,1,0
Serie_A,19/20,hellas-verona,1,0
Serie_A,19/20,lecce,1,0
Serie_A,20/21,benevento,1,0
Serie_A,20/21,crotone,1,0
Serie_A,20/21,spezia,1,0
Serie_A,21/22,empoli,1,0
Serie_A,21/22,salernitana,1,0
Serie_A,21/22,venezia,1,0
Serie_A,22/23,cremonese,1,0
Serie_A,22/23,lecce,1,0
Serie_A,22/23,monza,1,0
Serie_A,23/24,cagliari,1,0
Serie_A,23/24,frosinone,1,0
Serie_A,23/24,genoa,1,0
Serie_A,24/25,como,1,0
Serie_A,24/25,parma,1,0
Serie_A,24/25,venezia,1,0
Serie_B,19/20,juve-stabia,1,0
Serie_B,19/20,pordenone,1,0
Serie_B,19/20,trapani,1,0
Serie_B,19/20,virtus-entella,1,0
Serie_B,19/20,chievo,0,1
Serie_B,19/20,empoli,0,1
Serie_B,19/20,frosinone,0,1
Serie_B,20/21,monza,1,0
Serie_B,20/21,reggiana,1,0
Serie_B,20/21,reggina,1,0
Serie_B,20/21,vicenza,1,0
Serie_B,20/21,brescia,0,1
Serie_B,20/21,lecce,0,1
Serie_B,20/21,spal,0,1
Serie_B,21/22,alessandria,1,0
Serie_B,21/22,como,1,0
Serie_B,21/22,perugia,1,0
Serie_B,21/22,ternana,1,0
Serie_B,21/22,benevento,0,1
Serie_B,21/22,crotone,0,1
Serie_B,21/22,parma,0,1
Serie_B,22/23,bari,1,0
Serie_B,22/23,modena,1,0
Serie_B,22/23,palermo,1,0
Serie_B,22/23,sudtirol,1,0
Serie_B,22/23,cagliari,0,1
Serie_B,22/23,genoa,0,1
Serie_B,22/23,venezia,0,1
Serie_B,23/24,catanzaro,1,0
Serie_B,23/24,feralpisalo,1,0
Serie_B,23/24,lecco,1,0
Serie_B,23/24,reggiana,1,0
Serie_B,23/24,cremonese,0,1
Serie_B,23/24,sampdoria,0,1
Serie_B,23/24,spezia,0,1
Serie_B,24/25,carrarese,1,0
Serie_B,24/25,cesena,1,0
Serie_B,24/25,juve-stabia,1,0
Serie_B,24/25,mantova,1,0
Serie_B,24/25,frosinone,0,1
Serie_B,24/25,salernitana,0,1
Serie_B,24/25,sassuolo,0,1
